product	note	specs	options	description
2G_WARDROBE-2DRAWER				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
2G_WARDROBE				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
BASE_WARDROBE-2DRAWER				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
BASE_WARDROBE				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
STEEL_WARDROBE-2DRAWER				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
STEEL_WARDROBE				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
2_STEEL_WARDROBE_DUNES_2DRAWER				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
2_STEEL_WARDROBE_DUNES				Our wardrobe is a versatile piece of furniture to keep clothes and other possessions. The doors of this open to reveal a garment rod and can be customized with optional features such as a towel bar, mirror or coat hook. We can customize further by adding 1 or 2 drawers to optimal functionality.
STEEL_SLIMDECK		Adjustable bed height; Bunkable; Loftable; Bolts into place 	Headoard; Ladder; Safety Rail; Available in a variety of finishes	Sturdy while still thin, the slim deck bed allows for plenty of room underneath allowing for underbed storage. Maximize your rooms floor plan by adding a couple of our chests.
STEEL_SPRINGDECK		Adjustable bed height; Bunkable; Loftable; No-Sag Spring Coils; Available in a wedge-lock configuration or can be bolted into place	Headboard; Decorative Face Rail; Ladder; Safety Rail; Available in a variety of finishes	Function meets comfort in KLN’s spring deck bed. Our bed fastens to steel end frames and is engineered for continuous use in an institutional environment. While the two center support bars and no-sag coils ensure both comfort and support for a good night’s rest.
STEEL_PANEL-SLIMDECK	Shown with optional headboard and lock	Bolts in place; Two drawers for added storage; Five side drawer box; Bunkable	Headboard; Lock; Drawer Style; Ladder; Safety Rail; Available in a variety of finishes	With the added addition of drawer space this functional piece is a great space saver for small areas. Our durable panel deck can also be bunked to save even more space.
STEEL_LIFTDECK	Shown with optional box divders	Bolts in Place; Adjustable bed height; Bunkable; Loftable; Lock; Eleven inch bed box;	Headboard; Box dividers; Casters; Ladder; Safety rail; Available in a variety of finishes	The lift deck bed can help you make the most use of small spaces. This bed allows for ample storage right under your mattress.
NET-ZERO_SPRINGDECK	Shown with optional headboard and Decorative Face Rail	Adjustable bed height; Bunkable; Loftable; No-Sag Spring Coils; Available in a wedge-lock configuration or can be bolted into place	Headboard; Decorative Face Rail; Ladder; Safety Rail; Available in a variety of finishes	Function meets comfort in KLN’s spring deck bed. Our bed fastens to steel end frames and is engineered for continuous use in an institutional environment. While the two center support bars and no-sag coils ensure both comfort and support for a good night’s rest.
NET-ZERO_TUBEDECK	Shown with optional headboard and Decorative Face Rail			This twin bed helps maximize available space and the sturdy, steel-crafted frame promises stability and function. 
2G_SLIMDECK	Shown with optional headboard and Decorative Face Rail	Adjustable bed height; Bunkable; Loftable; Bolts into place 	Headoard; Ladder; Safety Rail; Available in a variety of finishes	This twin bed helps maximize available space and the sturdy, steel-crafted frame promises stability and function. Sturdy while still thin, the slim deck bed allows for plenty of room underneath allowing for underbed storage. Maximize your rooms floor plan by adding a couple of our chests.
2G_SPRINGDECK	Shown with optional headboard and Decorative Face Rail	Adjustable bed height; Bunkable; Loftable; No-Sag Spring Coils; Available in a wedge-lock configuration or can be bolted into place	Headboard; Decorative Face Rail; Ladder; Safety Rail; Available in a variety of finishes	Function meets comfort in KLN’s spring deck bed. Our bed fastens to steel end frames and is engineered for continuous use in an institutional environment. While the two center support bars and no-sag coils ensure both comfort and support for a good night’s rest.
2G_TUBEDECK	Shown with optional headboard and Decorative Face Rail			This twin bed helps maximize available space and the sturdy, steel-crafted frame promises stability and function. 
2G_EZ-LOFT-KIT				The EZ loft kit makes lofting a bad as easy as 1-2-3. Simply assemble 2 bed ends with a base, open the ez loft kit, add bunking pins and then lift the assembled bed on top of the kit and done.
2G_LADDER				Gain simple access to a bunked or lofted bed
2G_SAFETY-RAIL				Safety Rail prevents rolling or falling out of bed, providing safety and security for user
